;video_name;num_of_total_frames;num_of_missing_frames_pose;num_of_missing_frames_left_hand;num_of_missing_frames_right_hand;configuration
0;dataset/corpus/GEREK _1.mp4;51;0;51;10;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
1;dataset/corpus/I╠çLGINC╠ğ_0.mp4;56;0;56;29;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
2;dataset/corpus/MEMUR_1.mp4;60;0;60;33;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
3;dataset/corpus/BAS╠ğPARMAK_0.mp4;41;0;41;19;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
4;dataset/corpus/YILDIZ_0.mp4;66;0;22;21;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
5;dataset/corpus/ZARF_0.mp4;48;0;48;24;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
6;dataset/corpus/SERVIS_1.mp4;47;0;18;16;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
7;dataset/corpus/HAKLI_0.mp4;83;0;83;49;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
8;dataset/corpus/KIM_1.mp4;74;0;52;52;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
9;dataset/corpus/I╠çKISI_0.mp4;50;0;50;17;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
10;dataset/corpus/DIG╠åER_0.mp4;46;0;46;25;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
11;dataset/corpus/BAYRAK_0.mp4;54;0;54;11;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
12;dataset/corpus/I╠çNS╠ğALLAH_1.mp4;38;0;16;19;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
13;dataset/corpus/HOPARLO╠êR_0.mp4;58;0;28;18;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
14;dataset/corpus/I╠çMZALAMAK_0.mp4;44;0;16;14;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
15;dataset/corpus/GARANTI_0.mp4;64;0;30;28;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
16;dataset/corpus/KUSURA BAKMAMAK_1.mp4;63;0;37;16;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
17;dataset/corpus/SAC╠ğ_0.mp4;54;0;54;15;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
18;dataset/corpus/VERGI _1.mp4;47;0;14;13;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
19;dataset/corpus/YAVAS╠ğLAMAK_0.mp4;47;0;7;7;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
20;dataset/corpus/BAG╠åIMSIZ _0.mp4;74;0;74;41;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
21;dataset/corpus/GO╠êNU╠êL_0.mp4;41;0;41;11;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
22;dataset/corpus/TREN_1.mp4;71;0;24;38;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
23;dataset/corpus/C╠ğAY_1.mp4;74;0;74;34;namespace(MEDIAPIPE_STATIC_IMAGE_MODE=False, MEDIAPIPE_MODEL_COMPLEXITY=1, MEDIAPIPE_SMOOTH_LANDMARKS=True, MEDIAPIPE_ENABLE_SEGMENTATION=False, MEDIAPIPE_SMOOTH_SEGMENTATION=True, MEDIAPIPE_REFINE_FACE_LANDMARKS=False, MEDIAPIPE_MIN_DETECTION_CONFIDENCE=0.5, MEDIAPIPE_MIN_TRACKING_CONFIDENCE=0.5, MODEL_ENCODER_INPUT_DIM=225, MODEL_ENCODER_HIDDEN_DIM=256, MODEL_ENCODER_OUTPUT_DIM=768, MODEL_VQ_NUM_EMBS=10000, MODEL_VQ_EMBED_DIM=768, MODEL_VQ_COMMITMENT_COST=0.25, MODEL_DECODER_INPUT_DIM=768, MODEL_DECODER_HIDDEN_DIM=256, MODEL_DECODER_OUTPUT_DIM=225, NUM_EPOCHS=100, BATCH_SIZE=32, LEARNING_RATE=1e-05)
